0    [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 175, speed: 45, numberOfBlocks:4, blockLength: 57, crossings: 4-2, singleDirection: false, highBlocknumberSectionId: 372-783}
0    [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 175, speed: 45, numberOfBlocks:4, blockLength: 57, crossings: 4-2, singleDirection: false, highBlocknumberSectionId: 372-783}
102  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 463, speed: 40, numberOfBlocks:48, blockLength: 67, crossings: 45, singleDirection: true, highBlocknumberSectionId: null}
102  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 463, speed: 40, numberOfBlocks:48, blockLength: 67, crossings: 45, singleDirection: true, highBlocknumberSectionId: null}
205  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 170, speed: 26, numberOfBlocks:49, blockLength: 87, crossings: 25, singleDirection: true, highBlocknumberSectionId: null}
205  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 170, speed: 26, numberOfBlocks:49, blockLength: 87, crossings: 25, singleDirection: true, highBlocknumberSectionId: null}
305  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 2, speed: 37, numberOfBlocks:10, blockLength: 20, crossings: 3-7, singleDirection: true, highBlocknumberSectionId: null}
305  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 2, speed: 37, numberOfBlocks:10, blockLength: 20, crossings: 3-7, singleDirection: true, highBlocknumberSectionId: null}
407  [main] INFO  be.kdg.Simulator.DomainLoader.SectionLoader  - SectionInfo set: Section: { sectionId: 244, speed: 20, numberOfBlocks:30, blockLength: 149, crossings: 8-17-15, singleDirection: true, highBlocknumberSectionId: null}
407  [main] INFO  be.kdg.Simulator.DomainLoader.RideRouter  - loadSection with info: Section: { sectionId: 244, speed: 20, numberOfBlocks:30, blockLength: 149, crossings: 8-17-15, singleDirection: true, highBlocknumberSectionId: null}
